year,month,social_buzz,search_interest,influencer_posts,price_index,sustainability_score,trend_momentum,trend_score,season_spring,season_summer,season_winter,category_denim,category_formal,category_luxury,category_streetwear,category_sustainable,category_vintage,region_EU,region_LATAM,region_NA
2017,1,-0.6611567286136416,67.71840146622488,9.192982965115664,86.07268092994606,0.2961142706870287,-1.0068279759903038,61.941763673290865,False,False,True,True,False,False,False,False,False,False,False,True
2023,6,-1.845878874626824,15.819664948319648,14.768925769639676,105.41919904287363,0.6492523583544968,0.1478485549519405,46.89259504449362,False,True,False,True,False,False,False,False,False,False,False,True
2022,6,0.1233094044424584,58.84025752457512,9.644624763809322,115.84709120337571,0.29649038648576925,-1.2953476708655824,68.67667408890236,False,True,False,False,False,False,True,False,False,True,False,False
2020,4,-0.4708738797157607,44.9917276100967,5.315533174394559,87.05907720931347,0.7827995486453404,0.5143400502063492,71.28969948801888,True,False,False,True,False,False,False,False,False,False,False,True
2020,2,-0.44008901058713173,36.315228131695676,11.95011209446189,92.39657667255713,0.6424780290562222,-0.9776640592717641,70.12063691877418,False,False,True,True,False,False,False,False,False,False,True,False
2024,1,1.9753431178455254,55.048163364139704,13.8240526665277,106.01266551316266,0.8943651769844088,-0.8325237401905758,82.68812727897928,False,False,True,True,False,False,False,False,False,False,False,True
2017,1,-1.5258569827326718,68.41176945212983,11.081023422532576,99.63490473062862,0.6703810769096736,0.3754920484318922,78.1462107655999,False,False,True,False,False,False,True,False,False,False,False,True
2023,6,0.38287113537147105,65.58715747226272,14.466430813038919,106.6753539382012,0.4951431187982215,1.7502336828022196,98.677710418384,False,True,False,False,False,True,False,False,False,False,False,True
2018,2,-0.9948072371447515,47.97330453640057,10.16688424259646,99.18623581480931,0.4062381156608206,2.1977875602358967,77.23238850807306,False,False,True,False,False,True,False,False,False,False,False,True
2017,12,0.9082614092673243,63.13611445641423,9.591221325445641,95.35498000586898,0.5930003904540153,-1.0398655057795423,91.26547678354422,False,False,True,False,False,False,True,False,False,False,False,True
2021,3,0.2984312361750658,63.021018476687665,18.128740324838844,98.19326311461495,0.5445548940739826,-0.5966063267153192,91.45166241732595,True,False,False,False,False,False,False,False,False,False,False,False
2025,8,0.3793443491806136,48.6894309426025,10.682599667648526,80.9432846219523,0.7635050262779098,0.5155322850373589,88.85435987758957,False,True,False,False,False,True,False,False,False,False,False,True
